name,stl_filepath,inner_mat,outer_mat,surface,color,displacement x,displacement y,displacement z,solid_type

sipm,/workspace/data_files/stl_files/Sebastian/2022_6_22_corrected/JulyRunRebuild - SipmSubAssembly-2 SipmPlate-1.STL,silicon,liquid xenon,FBK HD3,black,0,0,0,pmt

source,/workspace/data_files/stl_files/Sebastian/2022_6_22_corrected/JulyRunRebuild - source-1 sourcepart3-2.STL,steel,liquid xenon,None,red,0,0,0,none

silica window,/workspace/data_files/stl_files/Sebastian/2022_6_22_corrected/JulyRunRebuild - silicawindow-1 SilicaWindow-1.STL,silica,liquid xenon,None,cyan,0,0,0,solid

silica gasket 1,/workspace/data_files/stl_files/Sebastian/2022_6_22_corrected/JulyRunRebuild - silicawindow-1 SilicaGasket.step-1.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid

silica gasket 2,/workspace/data_files/stl_files/Sebastian/2022_6_22_corrected/JulyRunRebuild - silicawindow-1 SilicaGasket.step-2.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid

copper plate 1,/workspace/data_files/stl_files/Sebastian/2022_6_22_corrected/JulyRunRebuild - SiPM-Disk-1.step-1.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid

copper plate 2,/workspace/data_files/stl_files/Sebastian/2022_6_22_corrected/JulyRunRebuild - SiPM-Disk-2.step-1.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid



